Name,Region,Scientific Name,Sun Exposure,Rating
Chinese Fringe Flower or Chinese Witchhazel,3,Loropetalum chinense,"sun, partial sun",6.20
Colorado Fir,3,Abies concolor,"sun, partial sun",6.20
Shagbark Hickory,3,Carya ovata,"sun, partial sun",6.20
Croton,3,Codiaeum variegatum,"partial sun, shade",6.20
Hardy Chrysanthemum,3,Chrysanthemum x morifolium (Dendranthema x morifolium),"sun, partial sun",6.01
Crocus,3,Crocus spp.,"sun, partial sun",6.01
Pansy,3,Viola x wittrockiana,"sun, partial sun",6.01
Carnation,3,Dianthus caryophyllus,"sun, partial sun",6.01
China Pinks,3,Dianthus chinensis,"sun, partial sun",6.01
Evening Primrose,3,Oenothera speciosa,"sun, partial sun",6.00
Apple,3,Malus x domestica,sun,6.00
Glossy Abelia,3,Abelia x grandiflora,"sun, partial sun",6.00
Rose-Of-Sharon or Shrub Althea,3,Hibiscus syriacus,"sun, partial sun",6.00
Mimosa,3,Albizia julibrissin,sun,6.00
Japanese Black Pine,3,Pinus thunbergiana,sun,6.00
Red Tip Photinia,3,Photinia x fraseri,"sun, partial sun",6.00
Climbing Fig or Creeping Fig,3,Ficus pumila,"sun, partial sun, shade",6.00
Black Walnut,3,Juglans nigra,sun,6.00
Mexican Heather,3,Cuphea hyssopifolia,"sun, partial sun",6.00
Silver Maple,3,Acer saccharinum,sun,6.00
African Marigold or             American Marigold,3,Tagetes erecta,"sun, partial sun",6.00
Purpleleaf Plum,3,Prunus cerasifera,"sun, partial sun",6.00
Blue Daze,3,Evolvulus nuttallianus,"sun, partial sun",6.00
Japanese Zelkova,3,Zelkova serrata,sun,6.00
Leatherleaf Mahonia,3,Mahonia bealei,shade,6.00
Gazania,3,Gazania spp.,sun,6.00
Dwarf French Marigold,3,Tagetes patula,"sun, partial sun",6.00
Washington Hawthorn,3,Crataegus phaenopyrum,"sun, partial sun",6.00
Dwarf Waxmyrtle,3,Myrica pussilla,"sun, partial sun",6.00
Passionflowers,3,Passiflora spp.,"sun, partial sun",6.00
Possumhaw,3,Ilex decidua,"sun, partial sun, shade",6.00
Shrimp Plant,3,Justicia brandegeana,"sun, partial sun, shade",6.00
Barbados Cherry,3,Malpighia glabra,"sun, partial sun",6.00
Holly Fern,3,Cyrtomium falcatum,shade,6.00
Canna,3,Canna x generalis,"sun, partial sun",5.40
Star Magnolia,3,Magnolia stellata,"sun, partial sun",5.40
Caladium,3,Caladium x hortulanum,shade,5.40
Ornamental Cabbage and     Ornamental Kale,3,Brassica oleracea,"sun, partial sun",5.21
Snapdragon,3,Antirrhinum majus,"sun, partial sun",5.21
Winged Euonymus or Burningbush,3,Euonymus alatus,"sun, partial sun",5.20
Willow Oak,3,Quercus phellos,sun,5.20
Eastern Cottonwood or Eastern Poplar,3,Populus deltoides,sun,5.20
Fremont Cottonwood,3,Populus fremontii,sun,5.20
Slash Pine,3,Pinus elliottii,sun,5.20
Yews,3,Taxus spp.,"sun, partial sun, shade",5.20
Bush Cinquefoil,3,Potentilla fruticosa,"sun, partial sun",5.20
Royal Paulownia or Empress Tree,3,Paulownia tomentosa,sun,5.20
Kumquat,3,Fortunella margarita,"sun, partial sun",5.20
Crimson Bottlebrush,3,Callistemon citrinus (Callistemon lanceolatus),"sun, partial sun",5.20
Vinca or Periwinkle,3,Catharanthus roseus,"sun, partial sun",5.20
Citrus,3,Citrus spp.,"sun, partial sun",5.20
Russell's Hybrid Lupines,3,Lupinus x polyphyllus,"sun, partial sun",5.20
American Beautyberry,3,Callicarpa americana,"sun, partial sun",5.20
Pentas or Egyptian Star,3,Pentas lanceolata,"sun, partial sun",5.20
Common Douglasfir,3,Pseudotsuga menziesii,sun,5.20
American Smokebush or Texas Smokebush,3,Cotinus obovatus,sun,5.20
"Hankow Willow, Dragon's Claw Willow, Globe Willow",3,Salix matsudana,sun,5.20
Hinckley's Columbine,3,Aquilegia chrysantha var. hinckleyana,"partial sun, shade",5.00
Pussy Willow,3,Salix discolor,"sun, partial sun",5.00
Peach or Nectarine,3,Prunus persica,sun,5.00
Boxwoods,3,Buxus spp.,"sun, partial sun",5.00
Verbena,3,Verbena spp.,"sun, partial sun",5.00
Periwinkle,3,Vinca minor,shade,5.00
Flowering Maples,3,Abutilon spp.,"sun, partial sun, shade",5.00
Petunia,3,Petunia x hybrida,"sun, partial sun",4.41
Columbine,3,Aquilegia x hybrida,"partial sun, shade",4.41
Sweetbay Magnolia,3,Magnolia virginiana,"sun, partial sun",4.40
Water Oak,3,Quercus nigra,sun,4.40
Cast Iron Plant,3,Aspidistra elatior,"partial sun, shade",4.40
Tea Olive or False Holly,3,Osmanthus spp.,"sun, partial sun",4.40
English Walnut,3,Juglans regia,sun,4.40
Monkey Grass,3,Ophiopogon japonica,"partial sun, shade",4.40
Shumard Oak,3,Quercus shumardii,sun,4.40
Horsetail,3,Equisetum hyemale,"sun, partial sun, shade",4.40
Southern Magnolia,3,Magnolia grandiflora,"sun, partial sun",4.40
Loblolly Pine,3,Pinus taeda,sun,4.40
Quaking Aspen,3,Populus tremuloides,sun,4.40
Coconut Palm,3,Cocos nucifera,sun,4.40
Elephant's Ear,3,Colocasia esculenta,"sun, partial sun, shade",4.40
Banyan Tree,3,Ficus benghalensis,sun,4.40
Common Sassafras,3,Sassafras albidum,"sun, partial sun",4.40
American Holly,3,Ilex opaca,"sun, partial sun",4.40
Coleus or Painted Nettle,3,Coleus x hybridus (Solenostemon scutellariodes),"sun, partial sun, shade",4.40
Gold Dust Plant or Japanese Aucuba,3,Aucuba japonica,,4.20
Witchhazels,3,Hamamelis spp.,"sun, partial sun",4.20
American Beech,3,Fagus grandifolia,"sun, partial sun, shade",4.20
Weeping Fig,3,Ficus benjamina,"sun, partial sun, shade",4.20
Gardenia,3,Gardenia augusta,"partial sun, shade",4.20
"Gladiola, Glads, or Sword Lily",3,Gladiolus x hortulanus,sun,4.20
Flowering Crabapples,3,Malus spp.,sun,4.20
Common Smokebush,3,Cotinus coggygria,"sun, partial sun",4.20
Euryops Daisy,3,Euryops pectinatus,"sun, partial sun",4.20
Paper Birch,3,Betula papyrifera,sun,4.20
River Birch,3,Betula nigra,sun,4.20
Pin Oak,3,Quercus palustris,sun,4.20
Waxleaf Begonia,3,Begonia semperflorens-cultorum,"sun, partial sun, shade",4.20
Maki or Japanese Yew,3,Podocarpus macrophyllus var. maki,"sun, partial sun, shade",3.60
English Holly,3,Ilex aquifolium,"sun, partial sun",3.60
Blue Colorado Spruce,3,Picea pungens f. glauca,sun,3.60
European Beech,3,Fagus sylvatica,"sun, partial sun, shade",3.60
Saucer Magnolia,3,Magnolia x soulangiana,"sun, partial sun",3.60
Tropical Hibiscus,3,Hibiscus rosa-sinensis,"sun, partial sun",3.60
Sugar Maple,3,Acer saccharum,"sun, partial sun",3.40
Giant Sequoia,3,Sequoiadendron giganteum,"sun, partial sun",3.40
Northern Red Oak,3,Quercus rubra,sun,3.40
Dawn Redwood,3,Metasequoia glyptostroboides,"sun, partial sun",3.40
Sasanqua Camellia,3,Camellia sasanqua,"sun, partial sun",3.40
Drummond Red Maple,3,Acer rubrum var. drummondii,sun,3.40
Split-Leaf Philodendron,3,Philodendron selloum,"partial sun, shade",3.40
Japanese Camellia,3,Camellia japonica,"partial sun, shade",3.40
Mexican Ageratum or Flossflower,3,Ageratum houstonianum,"sun, partial sun",3.40
Eastern White Pine,3,Pinus strobus,sun,3.40
Northern Bayberry,3,Myrica pensylvanica,"sun, partial sun",3.40
Roses,3,Rosa spp.,"sun, partial sun",3.40
Canadian Hemlock,3,Tsuga canadensis,"sun, partial sun",3.40
Foster's Holly,3,Ilex x attenuata,"sun, partial sun",3.40
"Bugleweed, Ajuga, or Carpetweed",3,Ajuga reptans,"partial sun, shade",3.40
Sweet Mock Orange,3,Philadelphus coronarius,"sun, partial sun",3.40
Bigleaf Hydrangea,3,Hydrangea macrophylla,partial sun,2.80
Oakleaf Hydrangea,3,Hydrangea quercifolia,"partial sun, shade",2.80
Yellow Flag,3,Iris pseudacorus,"sun, partial sun, shade",2.80
Japanese Maple,3,Acer palmatum,"partial sun, shade",2.60
Norway Spruce,3,Picea abies,"sun, partial sun",2.60
Hostas or Plantain Lilies,3,Hosta spp.,"partial sun, shade",2.60
Coast Redwood,3,Sequoia sempervirens,"sun, partial sun",2.60
Flowering Dogwood,3,Cornus florida,sun,2.60
Japanese Barberry,3,Berberis thunbergii,"sun, partial sun",2.60
Rhododendrons or Azaleas,3,Rhododendron spp.,"sun, partial sun, shade",2.60
New Guinea Hybrid Impatiens,3,Impatiens,shade,2.60
"Impatiens, Sultana, or Busy Lizzy",3,Impatiens wallerana,shade,1.80
Muhly Grasses,3,Muhlenbergia spp.,"sun, partial sun",0.00
Eastern Redbud,3,Cercis canadensis var. canadensis,sun,0.00
Inland Sea Oats,3,Chasmanthium latifolium,"sun, partial sun, shade",0.00
American Chestnut,3,Castanea dentata,"sun, partial sun, shade",0.00
Papaya,3,Carica papaya,sun,0.00
Sea Oats,3,Uniola paniculata,"sun, partial sun",0.00
Date Palm,3,Phoenix dactylifera,"sun, partial sun",0.00
"Golden Dewdrop, Brazilian Sky Flower",3,Duranta erecta (Duranta repens),"sun, partial sun",0.00
Chinese Chestnut,3,Castanea mollissima,sun,0.00
Australian Pine,3,Casuarina equisetifolia,"sun, partial sun",0.00
Japanese Cryptomeria,3,Cryptomeria japonica,"sun, partial sun",0.00
Variegated Tapioca,3,Manihot esculenta,"sun, partial sun",0.00
Honey Myrtles,3,Melaleuca spp.,"sun, partial sun",0.00
Flame-Of-The-Woods,3,Ixora coccinea,"sun, partial sun",0.00
Jacaranda,3,Jacaranda mimosifolia,"sun, partial sun",0.00
Firecracker or Spicy Jatropha,3,Jatropha integerrima,"sun, partial sun",0.00
Weigela,3,Weigela florida,"sun, partial sun",0.00
Poinsettia,3,Euphorbia pulcherrima,"sun, partial sun",0.00
Japanese Blueberry Tree,3,Elaeocarpus decipiens,"sun, partial sun",0.00
Groundsel Tree or Eastern Baccharis,3,Baccharis halimifolia,sun,0.00
Variegated Shell Ginger,3,Alpinia zerumbet 'Variegata',"sun, partial sun, shade",0.00
Sugarcane,3,Saccharum officinarum,"sun, partial sun",0.00
Queen Palm,3,"Syagrus romanzoffiana (Cocos plumosa, Arecastrum romanzoffianum)","sun, partial sun",0.00
Mexican Feathergrass,3,Stipa tenuissima (Nassella tenuissima),"sun, partial sun",0.00
Schefflera,3,Schefflera spp.,"sun, partial sun, shade",0.00
Hedge Bamboo,3,Bambusa multiplex,"sun, partial sun",0.00
Caricature Plant,3,Graptophyllum pictum,"sun, partial sun, shade",0.00
Giant Alocasia,3,Alocasia macrorrhiza,"partial sun, shade",0.00
Fairy Duster,3,Calliandra eriophylla,"sun, partial sun",0.00
Plumeria,3,Plumeria rubra,sun,0.00
Chinese Pistachio,3,Pistacia chinensis,"sun, partial sun",0.00
Butterfly Ginger,3,Hedychium coronarium,"sun, partial sun",0.00
Firebush,3,Hamelia patens,sun,0.00
European Horsechestnut,3,Aesculus hippocastanum,sun,0.00
Bottlebrush Buckeye,3,Aesculus parviflora,"sun, partial sun, shade",0.00
Little Bluestem,3,Schizachyrium scoparium,"sun, partial sun",0.00
Name,Region,Scientific Name,Sun Exposure,Rating
Indian Paintbrush,4,Castilleja indivisa,"sun, partial sun",See note regarding cool season annuals
Dusty Miller,4,Senecio cineraria,"sun, partial sun",See note regarding cool season annuals
Texas Bluebonnet,4,Lupinus texensis,"sun, partial sun",See note regarding cool season annuals
Texas Redbud,4,Cercis canadensis var. texensis,sun,10.00
Bay Laurel,4,Laurus nobilis,"sun, partial sun",10.00
Creosote Bush,4,Larrea tridentata,sun,10.00
Eastern Redcedar,4,Juniperus virginiana,sun,10.00
Ash Juniper,4,Juniperus ashei,sun,10.00
Primrose Jasmine,4,Jasminum mesnyi,"sun, partial sun",10.00
Goldenball Leadtree,4,Leucaena retusa,"sun, partial sun",10.00
"Texas Sage, Cenizo, or Texas Ranger",4,Leucophyllum frutescens,sun,10.00
Liriope or Lilyturf,4,Liriope muscari,"sun, partial sun, shade",10.00
Winter Honeysuckle,4,Lonicera fragrantissima,"sun, partial sun",10.00
Pam's Pink American Honeysuckle,4,Lonicera x americana,sun,10.00
Osage Orange (Horse Apple),4,Maclura pomifera,"sun, partial sun",10.00
Giant Turk's Cap,4,Malvaviscus arboreus var. mexicanus,"sun, partial sun",10.00
Turk's Cap,4,Malvaviscus arboreus var. drummondii,"sun, partial sun, shade",10.00
Common Morning Glory,4,Ipomoea purpurea,sun,10.00
Shrub Morning Glory or Bush Morning Glory,4,Ipomoea carnea subsp. fistulosa (Ipomoea fistulosa),sun,10.00
Desert Willow,4,Chilopsis linearis,sun,10.00
"Anacahuite, Texas Olive, or Mexican Olive",4,Cordia boissieri,"sun, partial sun",10.00
Rough-Leaf Dogwood,4,Cornus drummondii,"sun, partial sun",10.00
Dwarf Pampas Grass,4,Cortaderia selloana,"sun, partial sun",10.00
Sotol or Desert Spoon,4,Dasylirion spp.,sun,10.00
Texas Persimmon,4,Diospyros texana,sun,10.00
Sandpaper Tree,4,Ehretia anacua,"sun, partial sun",10.00
Red Yucca,4,Hesperaloe parviflora,"sun, partial sun",10.00
"Eucalyptus, Gum Tree, or Ironbarks",4,Eucalyptus spp.,sun,10.00
Texas Kidneywood,4,Eysenhardtia texana,"sun, partial sun",10.00
Apache Plume,4,Fallugia paradoxa,"sun, partial sun",10.00
Common Fig,4,Ficus carica,sun,10.00
Ocotillo,4,Fouquieria splendens,sun,10.00
Carolina Jessamine,4,Gelsemium sempervirens,"partial sun, shade",10.00
Tree Cholla,4,Opuntia imbricata,sun,10.00
Chinese Silver Grass,4,Miscanthus sinensis,"sun, partial sun",10.00
Salvias or Sages,4,Salvia spp.,"sun, partial sun",10.00
Hen-And-Chicks,4,Sempervivum tectorum,sun,10.00
Chittamwood or Woollybucket Bumelia,4,Sideroxylon lanuginosum (Bumelia lanuginosa),"sun, partial sun",10.00
Eve's Necklace,4,Sophora affinis,"sun, partial sun, shade",10.00
Coralberry,4,Symphoricarpos orbiculatus,"sun, partial sun, shade",10.00
Tree Yellow Bells,4,Tecoma stans var. stans,"sun, partial sun",10.00
Yellow Bells or Esperanza,4,Tecoma stans var. angustata,"sun, partial sun",10.00
Asian Jasmine,4,Trachelospermum asiaticum,"sun, partial sun, shade",10.00
Cedar Elm,4,Ulmus crassifolia,sun,10.00
Mexican Buckeye,4,Ungnadia speciosa,"sun, partial sun",10.00
Chisos Rosewood,4,Vauquelinia angustifolia,sun,10.00
Chaste Tree,4,Vitex agnus-castus,"sun, partial sun",10.00
California Fan Palm or Petticoat Palm,4,Washingtonia filifera,sun,10.00
Chinese Wisteria,4,Wisteria sinensis,"sun, partial sun",10.00
Spanish Daggers or Yucca,4,Yucca spp.,sun,10.00
Palmetto Palm,4,Sabal palmetto,"sun, partial sun",10.00
Texas Palmetto or Texas Sabal,4,Sabal mexicana,"sun, partial sun",10.00
Heavenly Bamboo or Nandina,4,Nandina domestica,"sun, partial sun, shade",10.00
Retama or Jerusalem Thorn,4,Parkinsonia aculeata,sun,10.00
Rockrose,4,Pavonia lasiopetala,"sun, partial sun",10.00
Aleppo Pine,4,Pinus halepensis,sun,10.00
Chinese Pistachio,4,Pistachia chinensis,sun,10.00
Texas Pistachio,4,Pistacia mexicana (Pistacia texana),sun,10.00
Purslane,4,Portulaca oleracea,"sun, partial sun",10.00
Lacey Oak,4,Quercus laceyi (Quercus glaucoides),sun,10.00
Chinkapin Oak,4,Quercus muehlenbergii,sun,10.00
Monterey Oak or Mexican White Oak,4,Quercus polymorpha,sun,10.00
Cork Oak,4,Quercus suber,sun,10.00
Mexican Hat,4,Ratibida columnaris,"sun, partial sun",10.00
Fragrant Sumac,4,Rhus aromatica,sun,10.00
Smooth Sumac,4,Rhus glabra,sun,10.00
Prairie Flameleaf Sumac,4,Rhus lanceolata,sun,10.00
Mexican Zinnia,4,Zinnia angustifolia (Zinnia linearis),sun,10.00
Powis Castle Artemisia,4,Artemisia,sun,10.00
White Sage,4,Artemisia ludoviciana,"sun, partial sun",10.00
Flame Acanthus,4,Anisacanthus quadrifidus var. wrightii,"sun, partial sun",10.00
Common Trumpetcreeper,4,Campsis radicans,"sun, partial sun",10.00
Century Plant,4,Agave americana,sun,10.00
Agarito,4,Berberis trifoliolata,"sun, partial sun",10.00
Dwarf Pomegranate,4,Punica granatum var. nana,"sun, partial sun",10.00
Yellow Bird Of Paradise,4,Caesalpinia gilliesii,sun,10.00
Sweet Acacia,4,Acacia farnesiana,sun,10.00
Catclaw Acacia,4,Acacia greggii,sun,10.00
Mexican Redbud,4,Cercis canadensis var. mexicana,sun,10.00
Johnny-Jump-Up,4,Viola tricolor,"sun, partial sun",9.01
California Poppy,4,Eschscholzia californica,"sun, partial sun",9.01
Poppies,4,Papaver spp.,"sun, partial sun",9.01
Thyrallis or Yellow Plumbago,4,Galphimia glauca (Thryrallis glauca),"sun, partial sun",9.00
Annual Fountain Grass or Crimson Fountaingrass,4,Pennisetum setaceum,"sun, partial sun",9.00
Royal Paulownia or Empress Tree,4,Paulownia tomentosa,sun,9.00
Globe Amaranth or Bachelor's Button,4,Gomphrena globosa,"sun, partial sun",9.00
Red Gomphrena,4,Gomphrena haageana,"sun, partial sun",9.00
Common Sunflower,4,Helianthus annuus,sun,9.00
Creeping Juniper,4,Juniperus horizontalis,sun,9.00
Engelman's Prickly Pear,4,Opuntia engelmannii,sun,9.00
Japanese Garden Juniper,4,Juniperus procumbens,sun,9.00
Pinyon Pine,4,Pinus cembroides,sun,9.00
Texas Madrone,4,Arbutus xalapensis,"sun, partial sun",9.00
Black Cherry,4,Prunus serotina,sun,9.00
Mexican Plum,4,Prunus mexicana,sun,9.00
Chinese Parasol Tree,4,Firmiana simplex,"sun, partial sun",9.00
Honey Mesquite,4,Prosopis glandulosa,"sun, partial sun",9.00
Rose Moss or Moss Rose,4,Portulaca grandiflora,"sun, partial sun",9.00
Chinese Photinia,4,Photinia serratifolia   (Photinia serrulata),"sun, partial sun",9.00
Oriental Arborvitae,4,Platycladus orientalis,"sun, partial sun",9.00
Rocky Mountain Juniper,4,Juniperus scopulorum,sun,9.00
Afghan Pine,4,Pinus eldarica,"sun, partial sun",9.00
Southern Waxmyrtle,4,Myrica cerifera,"sun, partial sun",9.00
English Ivy,4,Hedera helix,"sun, partial sun, shade",9.00
Monkey Grass,4,Ophiopogon japonica,"partial sun, shade",9.00
Chinese Privet,4,Ligustrum sinense,"sun, partial sun, shade",9.00
Quihoui Privet,4,Ligustrum quihoui,"sun, partial sun, shade",9.00
Beach Morning Glory,4,Ipomoea stolonifera,sun,9.00
Japanese Ligustrum,4,Ligustrum lucidum,"sun, partial sun",9.00
German Iris or Bearded Iris,4,Iris x germanica,"sun, partial sun",9.00
Waxleaf Ligustrum,4,Ligustrum japonicum,"sun, partial sun",9.00
Pride-Of-Barbados,4,Caesalpinia pulcherrima,sun,9.00
Lantana,4,Lantana spp.,sun,9.00
Panicled Goldenraintree,4,Koelreuteria paniculata,sun,9.00
"Fiddleleaf Morning Glory, Railroad Vine, or Goat-Foot Morning Glory",4,Ipomoea pes-caprae,sun,9.00
Chinese Juniper,4,Juniperus chinensis,sun,9.00
Japanese Honeysuckle,4,Lonicera japonica,"sun, partial sun",9.00
Violet Silverleaf,4,Leucophyllum candidum,sun,9.00
Common Oleander,4,Nerium oleander,"sun, partial sun",9.00
Rose-Of-Sharon or Shrub Althea,4,Hibiscus syriacus,"sun, partial sun",9.00
Dwarf Waxmyrtle,4,Myrica pussilla,"sun, partial sun",9.00
Shore Juniper,4,Juniperus conferta,sun,9.00
Nellie R. Stevens Holly,4,Ilex,"sun, partial sun",9.00
Chinese Holly,4,Ilex cornuta,"sun, partial sun",9.00
Yaupon,4,Ilex vomitoria,"sun, partial sun",9.00
Coral Honeysuckle,4,Lonicera sempervirens,"sun, partial sun",9.00
American Beautyberry,4,Callicarpa americana,"sun, partial sun",9.00
Cotoneasters,4,Cotoneaster spp.,"sun, partial sun",9.00
Staghorn Sumac,4,Rhus typhina,sun,9.00
Black Locust,4,Robinia pseudoacacia,"sun, partial sun",9.00
Rosemary,4,Rosmarinus officinalis,sun,9.00
Tree-Of-Heaven,4,Ailanthus altissima,"sun, partial sun",9.00
Ice Plants,4,Delosperma spp.,"sun, partial sun",9.00
Black Willow,4,Salix nigra,sun,9.00
Mexican Elder,4,Sambucus mexicana,"sun, partial sun",9.00
Italian Cypress,4,Cupressus sempervirens,sun,9.00
Arizona Cypress,4,Cupressus arizonica,sun,9.00
Gray Cotoneaster,4,Cotoneaster glaucophyllus,sun,9.00
Western Soapberry,4,Sapindus drummondii,sun,9.00
Deodar Cedar,4,Cedrus deodara,"sun, partial sun",9.00
Montezuma Cypress,4,Taxodium mucronatum (Taxodium distichum var. mexicanum),"sun, partial sun",9.00
Showy Stonecrop Sedum,4,Sedum spectabile,"sun, partial sun",9.00
Sago Palm,4,Cycas revoluta,"sun, partial sun",9.00
Parsley Hawthorn,4,Crataegus marshallii,"sun, partial sun",9.00
Mexican Mint Merigold,4,Tagetes lucida,"sun, partial sun",9.00
Kentucky Coffee Tree,4,Gymnocladus dioicus,sun,9.00
Umbrella Sedge or Umbrella Palm,4,"Cyperus alternifolius (Cyperus flabelliformis, Cyperus involucratus)","sun, partial sun, shade",9.00
Japanese Zelkova,4,Zelkova serrata,sun,9.00
Wintercreeper Euonymus,4,Euonymus fortunei,"partial sun, shade",9.00
Escarpment Live Oak,4,Quercus fusiformis (Quercus virginiana var. fusiformis),sun,9.00
Texas Mountain Laurel,4,Sophora secundiflora,"sun, partial sun",9.00
Southern Red Oak,4,Quercus falcata,sun,9.00
Sugar Hackberry or Southern Hackberry,4,Celtis laevigata,sun,9.00
Japanese Loquat,4,Eriobotrya japonica,"sun, partial sun",9.00
Perennial Fountain Grass,4,Pennisetum alopecuroides,"sun, partial sun",9.00
Texas Red Oak,4,Quercus buckleyi (Quercus texana),sun,9.00
Vanhoutte Spirea,4,Spiraea x vanhouttei,"sun, partial sun",9.00
Glossy Abelia,4,Abelia x grandiflora,"sun, partial sun",9.00
Live Oak,4,Quercus virginiana,sun,9.00
Mexican Fan Palm,4,Washingtonia robusta,"sun, partial sun",9.00
Post Oak,4,Quercus stellata,sun,9.00
Japanese Euonymus,4,Euonymus japonicus,"sun, partial sun",8.20
Water Lotus,4,Nelumbo spp.,"sun, partial sun",8.20
Narrowleaf Cattail,4,Typha angustifolia,"sun, partial sun, shade",8.20
Common Baldcypress,4,Taxodium distichum var. distichum,sun,8.20
Pond Baldcypress,4,Taxodium ascendens (Taxodium distichum var. imbricarium),"sun, partial sun",8.20
Myrtle,4,Myrtus communis,"sun, partial sun",8.20
Larkspur,4,Consolida ambigua,"sun, partial sun",8.01
Bougainvillea Goldenraintree or Chinese Flame Tree,4,Koelreuteria bipinnata,sun,8.00
Leyland Cypress,4,X Cupressocyparis leylandii,"sun, partial sun",8.00
Windmill Palm,4,Trachycarpus fortunei,"sun, partial sun",8.00
Fern Acacia,4,Acacia hirta,"sun, partial sun",8.00
Winged Elm,4,Ulmus alata,sun,8.00
Viburnums,4,Viburnum spp.,"sun, partial sun",8.00
Lacebark Elm,4,Ulmus parvifolia,sun,8.00
Verbena,4,Verbena spp.,"sun, partial sun",8.00
Siberian Elm,4,Ulmus pumila,sun,8.00
"American Sweetgum, Red Gum, White Gum, Star-leaved Gum, Alligator Tree, Bilsted, Satin Walnut",4,Liquidambar styraciflua,sun,8.00
Cross Vine,4,Bignonia capreolata,"sun, partial sun",8.00
Golden Bamboo,4,Phyllostachys aurea,"sun, partial sun, shade",8.00
Black Bamboo,4,Phyllostachys nigra,"sun, partial sun, shade",8.00
Sawtooth Oak,4,Quercus acutissima,sun,8.00
Bur Oak,4,Quercus macrocarpa,sun,8.00
Common Douglasfir,4,Pseudotsuga menziesii,sun,8.00
White Oak,4,Quercus alba,sun,8.00
Scarlet Firethorn,4,Pyracantha coccinea,"sun, partial sun",8.00
Formosa Firethorn,4,Pyracantha koidzumii,"sun, partial sun",8.00
Indian Hawthorns,4,Raphiolepis spp.,"sun, partial sun",8.00
Water Oak,4,Quercus nigra,sun,8.00
Russell's Hybrid Lupines,4,Lupinus x polyphyllus,"sun, partial sun",8.00
Oregongrapeholly,4,Mahonia aquifolium,"partial sun, shade",8.00
Zinnia or         Youth-And-Old-Age,4,Zinnia elegans,"sun, partial sun",8.00
Common Sassafras,4,Sassafras albidum,"sun, partial sun",8.00
Cherry-Laurel,4,Prunus caroliniana,"sun, partial sun, shade",8.00
Olive,4,Olea europa,sun,8.00
American Elderberry,4,Sambucus canadensis,"sun, partial sun",8.00
Passionflowers,4,Passiflora spp.,"sun, partial sun",8.00
Common Pear,4,Pyrus communis,sun,8.00
Common Mulberry,4,Morus alba,"sun, partial sun",8.00
Chinese Trumpetcreeper,4,Campsis grandiflora,"sun, partial sun",8.00
Possumhaw,4,Ilex decidua,"sun, partial sun, shade",8.00
Celosia or Cockscomb,4,Celosia cristata,"sun, partial sun",8.00
Plains Coreopsis or Tick-Seed,4,Coreopsis tinctoria,"sun, partial sun",8.00
Egyptian Papyrus,4,Cyperus papyrus,"sun, partial sun, shade",8.00
Hawthorn,4,Crataegus spp.,"sun, partial sun",8.00
Ornamental Sweet Potato,4,Ipomoea batatas,"sun, partial sun, shade",8.00
Cypress Vine or Cardinal Climber,4,Ipomoea quamoclit,sun,8.00
Common Flowering Quince,4,Chaenomeles speciosa,"sun, partial sun",8.00
Thornless Common Honeylocust,4,Gleditsia triacanthos var. inermis,sun,8.00
Green Ash,4,Fraxinus pennsylvanica,sun,8.00
Thorny Elaeagnus,4,Elaeagnus pungens,"sun, partial sun",8.00
Ginkgo or Maidenhair Tree,4,Ginkgo biloba,sun,8.00
Japanese Persimmon,4,Diospyros kaki,sun,8.00
Russian Olive or Oleaster,4,Elaeagnus angustifolia,sun,8.00
Texas Ash,4,Fraxinus texensis,sun,8.00
Dwarf Cattail,4,Typha minima,"sun, partial sun",7.20
"Arizona Ash, Velvet Ash or Modesto Ash",4,Fraxinus velutina,sun,7.20
Red Buckeye,4,Aesculus pavia,"sun, partial sun, shade",7.20
Water Lilies,4,Nymphaea spp.,"sun, partial sun",7.20
Dutch Hyacinth,4,Hyacinthus orientalis,sun,7.01
"Daffodils, Jonquils, Paperwhites, or Narcissus",4,Narcissus spp.,sun,7.01
Crocus,4,Crocus spp.,"sun, partial sun",7.01
China Pinks,4,Dianthus chinensis,"sun, partial sun",7.01
Tulips,4,Tulipa spp.,sun,7.01
Pansy,4,Viola x wittrockiana,"sun, partial sun",7.01
Copperbark Crapemyrtle,4,Lagerstroemia fauriei,sun,7.00
Dwarf Palmetto Palm,4,Sabal minor,"sun, partial sun, shade",7.00
Mexican Ageratum or Flossflower,4,Ageratum houstonianum,"sun, partial sun",7.00
Crimson Bottlebrush,4,Callistemon citrinus (Callistemon lanceolatus),"sun, partial sun",7.00
Weeping Willow,4,Salix alba,sun,7.00
Gold Dust Plant or Japanese Aucuba,4,Aucuba japonica,,7.00
Japanese Pittosporum,4,Pittosporum tobira,"sun, partial sun",7.00
Sycamore or American Planetree,4,Platanus occidentalis,sun,7.00
"Hankow Willow, Dragon's Claw Willow, Globe Willow",4,Salix matsudana,sun,7.00
Common Persimmon,4,Diospyros virginiana,sun,7.00
Tea Olive or False Holly,4,Osmanthus spp.,"sun, partial sun",7.00
Northern Catalpa,4,Catalpa speciosa,sun,7.00
London Planetree,4,Platanus x acerifolia,sun,7.00
Shrimp Plant,4,Justicia brandegeana,"sun, partial sun, shade",7.00
Canary Island Date Palm,4,Phoenix canariensis,sun,7.00
Common Crapemyrtle,4,Lagerstroemia indica,sun,7.00
