Name,Region,Scientific Name,Sun Exposure,Rating
Escarpment Live Oak,0,Quercus fusiformis (Quercus virginiana var. fusiformis),sun,9.00
Mexican Plum,0,Prunus mexicana,sun,9.00
Black Cherry,0,Prunus serotina,sun,9.00
Chinese Photinia,0,Photinia serratifolia   (Photinia serrulata),"sun, partial sun",9.00
Water Lotus,0,Nelumbo spp.,"sun, partial sun",8.20
Pond Baldcypress,0,Taxodium ascendens (Taxodium distichum var. imbricarium),"sun, partial sun",8.20
Myrtle,0,Myrtus communis,"sun, partial sun",8.20
Pride-Of-Barbados,0,Caesalpinia pulcherrima,sun,8.20
Common Baldcypress,0,Taxodium distichum var. distichum,sun,8.20
Narrowleaf Cattail,0,Typha angustifolia,"sun, partial sun, shade",8.20
Japanese Euonymus,0,Euonymus japonicus,"sun, partial sun",8.20
Larkspur,0,Consolida ambigua,"sun, partial sun",8.01
Panicled Goldenraintree,0,Koelreuteria paniculata,sun,8.00
Common Sassafras,0,Sassafras albidum,"sun, partial sun",8.00
Common Pear,0,Pyrus communis,sun,8.00
Indian Hawthorns,0,Raphiolepis spp.,"sun, partial sun",8.00
Common Mulberry,0,Morus alba,"sun, partial sun",8.00
Leyland Cypress,0,X Cupressocyparis leylandii,"sun, partial sun",8.00
Russell's Hybrid Lupines,0,Lupinus x polyphyllus,"sun, partial sun",8.00
Common Douglasfir,0,Pseudotsuga menziesii,sun,8.00
"American Sweetgum, Red Gum, White Gum, Star-leaved Gum, Alligator Tree, Bilsted, Satin Walnut",0,Liquidambar styraciflua,sun,8.00
Bougainvillea Goldenraintree or Chinese Flame Tree,0,Koelreuteria bipinnata,sun,8.00
Scarlet Firethorn,0,Pyracantha coccinea,"sun, partial sun",8.00
Hawthorn,0,Crataegus spp.,"sun, partial sun",8.00
Chinese Trumpetcreeper,0,Campsis grandiflora,"sun, partial sun",8.00
Chinese Wisteria,0,Wisteria sinensis,"sun, partial sun",8.00
Formosa Firethorn,0,Pyracantha koidzumii,"sun, partial sun",8.00
Plains Coreopsis or Tick-Seed,0,Coreopsis tinctoria,"sun, partial sun",8.00
Oregongrapeholly,0,Mahonia aquifolium,"partial sun, shade",8.00
Egyptian Papyrus,0,Cyperus papyrus,"sun, partial sun, shade",8.00
Black Bamboo,0,Phyllostachys nigra,"sun, partial sun, shade",8.00
Siberian Elm,0,Ulmus pumila,sun,8.00
Thornless Common Honeylocust,0,Gleditsia triacanthos var. inermis,sun,8.00
Lacebark Elm,0,Ulmus parvifolia,sun,8.00
Golden Bamboo,0,Phyllostachys aurea,"sun, partial sun, shade",8.00
Celosia or Cockscomb,0,Celosia cristata,"sun, partial sun",8.00
Common Flowering Quince,0,Chaenomeles speciosa,"sun, partial sun",8.00
Texas Ash,0,Fraxinus texensis,sun,8.00
Green Ash,0,Fraxinus pennsylvanica,sun,8.00
Bur Oak,0,Quercus macrocarpa,sun,8.00
Winged Elm,0,Ulmus alata,sun,8.00
Passionflowers,0,Passiflora spp.,"sun, partial sun",8.00
Royal Paulownia or Empress Tree,0,Paulownia tomentosa,sun,8.00
Perennial Fountain Grass,0,Pennisetum alopecuroides,"sun, partial sun",8.00
English Ivy,0,Hedera helix,"sun, partial sun, shade",8.00
Olive,0,Olea europa,sun,8.00
Windmill Palm,0,Trachycarpus fortunei,"sun, partial sun",8.00
Cypress Vine or Cardinal Climber,0,Ipomoea quamoclit,sun,8.00
Fern Acacia,0,Acacia hirta,"sun, partial sun",8.00
Sawtooth Oak,0,Quercus acutissima,sun,8.00
White Oak,0,Quercus alba,sun,8.00
Zinnia or         Youth-And-Old-Age,0,Zinnia elegans,"sun, partial sun",8.00
Cherry-Laurel,0,Prunus caroliniana,"sun, partial sun, shade",8.00
Japanese Persimmon,0,Diospyros kaki,sun,8.00
Possumhaw,0,Ilex decidua,"sun, partial sun, shade",8.00
Bumald Spirea,0,Spiraea x bumalda,"sun, partial sun",8.00
Northern Red Oak,0,Quercus rubra,sun,8.00
Russian Olive or Oleaster,0,Elaeagnus angustifolia,sun,8.00
Thorny Elaeagnus,0,Elaeagnus pungens,"sun, partial sun",8.00
Viburnums,0,Viburnum spp.,"sun, partial sun",8.00
Verbena,0,Verbena spp.,"sun, partial sun",8.00
